45,Ma Riz Za,မာရဇ္ဇ,Dha Na Mae A Chit Yae Shauk Htar Chat,ဓနမဲ့အချစ်ရဲ့လျှောက်ထားချက်,https://www.youtube.com/watch?v=J3VxgNZRc9o&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=85
46,Ma Riz Za,မာရဇ္ဇ,Mone Khine Tine Ma Mone Nine Buu,မုန်းခိုင်းတိုင်းမမုန်းနိုင်ဘူး,https://www.youtube.com/watch?v=5-tcNKjoRwQ&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=86
47,Ma Riz Za,မာရဇ္ဇ,Swae Arr,ဆွဲအား,https://www.youtube.com/watch?v=lASwyqXONO8&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=87
48,Ma Riz Za,မာရဇ္ဇ,A Lwan Mate Sway,အလွမ်းမိတ်ဆွေ,https://www.youtube.com/watch?v=A-TTisNrS6o&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=92
49,Ma Riz Za,မာရဇ္ဇ,Lwan Yay Khat Khat,လွမ်းရေးခက်ခက်,https://www.youtube.com/watch?v=Y16q05z7F_s&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=98
50,Wai La,ဝေလ,Ma Lar Chin Nae,မလာချင်နဲ့,https://www.youtube.com/watch?v=ykHAJNqXupI&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=3
51,Htoo El Lynn,ထူးအယ်လင်း,Thit Pinn Oh Yae Kabar,သစ်ပင်အိုရဲ့ကမ္ဘာ,https://www.youtube.com/watch?v=9nrd4RL8MJg&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=4
52,Htoo El Lynn,ထူးအယ်လင်း,A Chit Lo Khaw Lar,အချစ်လို့ခေါ်လား,https://www.youtube.com/watch?v=A9dLZbRL3y0&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=20
53,Htoo El Lynn,ထူးအယ်လင်း,Lo Yin A Kone Lone Yu,လိုရင်အကုန်လုံးယူ,https://www.youtube.com/watch?v=L4PpNo0HObU&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=105
54,Htoo El Lynn,ထူးအယ်လင်း,Nga Tha Mee Sar Kyat Nay Dae,ငါ့သမီးစာကျက်နေတယ်,https://www.youtube.com/watch?v=yBtPW4xAlLc&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=111
55,Htoo El Lynn,ထူးအယ်လင်း,Minn Lay Nar Lal,မင်းလေးနားလည်,https://www.youtube.com/watch?v=k1iY3RlubrU&list=RDk1iY3RlubrU&start_radio=1
56,Wine Wine,ဝိုင်ဝိုင်း,May Mhar Par,မေ့မှာပါ,https://www.youtube.com/watch?v=en40R-9-Sv8&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=5
57,Wine Wine,ဝိုင်ဝိုင်း,Hnalone Thar Shar Thu,နှလုံးသားရှာသူ,https://www.youtube.com/watch?v=b-1u9isRi1k&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=6
58,Wine Wine,ဝိုင်ဝိုင်း,Thin Khann Sar,သင်ခန်းစာ,https://www.youtube.com/watch?v=QBZNMX3h4lk&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=8
59,Wine Wine,ဝိုင်ဝိုင်း,Kyoe Mae Swon,ကြိုးမဲ့စွန်,https://www.youtube.com/watch?v=SBZhBpf9uac&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=9
60,Wine Wine,ဝိုင်ဝိုင်း,See,စည်း,https://www.youtube.com/watch?v=PLWdz3f9sJI&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=10
61,Wine Wine,ဝိုင်ဝိုင်း,Lwan Nay Oo Mae,လွမ်းနေဦးမယ်,https://www.youtube.com/watch?v=Pqkky_a9E9U&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=21
62,Wine Wine,ဝိုင်ဝိုင်း,Ma Khaw Yat Buu,မခေါ်ရက်ဘူး,https://www.youtube.com/watch?v=uNyCg7WKL1g&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=22
63,Wine Wine,ဝိုင်ဝိုင်း,Kyay Zu,ကျေးဇူး,https://www.youtube.com/watch?v=meKgPBgB4lM&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=23
64,Wine Wine,ဝိုင်ဝိုင်း,A Narr Mhar Shi Yin,အနားမှာရှိရင်,https://www.youtube.com/watch?v=kBxDwvH5b0w&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=24
65,Wine Wine,ဝိုင်ဝိုင်း,Late Mat Ta Khu Pya Zat Ta Poke,အိပ်မက်တစ်ခုပြဇာတ်တစ်ပုဒ်,https://www.youtube.com/watch?v=OJHqwa7wGQU&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=25
66,Wine Wine,ဝိုင်ဝိုင်း,Tha Minn Lal Pyan,သမင်လည်ပြန်,https://www.youtube.com/watch?v=fSlaQxHdSgA&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=28
67,Wine Wine,ဝိုင်ဝိုင်း,Minn A Chit Kyaung,မင်းအချစ်ကြောင့်,https://www.youtube.com/watch?v=X5qa59kx4Go&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=61
68,Wine Wine,ဝိုင်ဝိုင်း,Phyay Theint Lite,ဖြေသိမ့်လိုက်,https://www.youtube.com/watch?v=rYmiDRWye58&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=64
69,R Zar Ni,Rဇာနည်,Ta Khar Ta Lay,တခါတလေ,https://www.youtube.com/watch?v=er-CAe3tlx0&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=7
70,R Zar Ni,Rဇာနည်,A Thint Thu,အသင့်သူ,https://www.youtube.com/watch?v=D7A5dzRE5_A&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=12
71,R Zar Ni,Rဇာနည်,Shway Lal Tine,ရွှေလည်တိုင်,https://www.youtube.com/watch?v=qhbS--OsshM&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=17
72,R Zar Ni,Rဇာနည်,Yay Sar Oo Zat Lann,ရည်းစားဦးဇာတ်လမ်း,https://www.youtube.com/watch?v=Go1A3qzfYIA&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=26
73,R Zar Ni,Rဇာနည်,Shinn Pya Khwint Pay Par,ရှင်းပြခွင့်ပေးပါ,https://www.youtube.com/watch?v=5PW9b6Z4uWo&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=31
74,R Zar Ni,Rဇာနည်,Ko Narr Shi Say Chin,ကိုယ့်အနားရှိစေချင်,https://www.youtube.com/watch?v=zuhlGGDiqV8&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=68
75,R Zar Ni,Rဇာနည်,Kyoe Pu Khat Nite Nyeit Twal Chinn,ကြိုးပုခက်၌ငြိတွယ်ခြင်း,https://www.youtube.com/watch?v=4okCxwD70CE&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=93
76,R Zar Ni,Rဇာနည်,La Minn Lay,လမင်းလေး,https://www.youtube.com/watch?v=4jG4HPR8uSk&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=94
77,R Zar Ni,Rဇာနည်,Lwal Nay Dae Sone Myat Myar,လွဲနေတဲ့ဆုံမှတ်များ,https://www.youtube.com/watch?v=UXnpgOHLj0g&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=95
78,R Zar Ni,Rဇာနည်,Kan Kaung Lo,ကံကောင်းလို့,https://www.youtube.com/watch?v=w4C3ToByIKs&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=96
79,R Zar Ni,Rဇာနည်,Nay Yar 2,နေရာ၂,https://www.youtube.com/watch?v=wJOtUBC9Xjo&list=PLYSyX_qwcf8WN0RdrpV940kOCs0qFezVK&index=109
